== (10,2,0) e=2 X4h=1 : every candidate with its rejection witness ==
a2 a3 c1 c2 bq1 n45 n4 | test | witness
 0  1  0  0  1  22 12 | C6A_n45       | n45=22 > 4*Rmax=16
 0  1  0  0  1  22 13 | C6A_n45       | n45=22 > 4*Rmax=16
 0  1  0  0  1  22 14 | C6A_n45       | n45=22 > 4*Rmax=16
 0  1  0  0  1  22 15 | C6A_n45       | n45=22 > 4*Rmax=16
 0  1  0  0  1  22 16 | C6A_n45       | n45=22 > 4*Rmax=16
 0  1  0  0  1  22 17 | C6A_n45       | n45=22 > 4*Rmax=16
 0  1  0  0  1  22 18 | C6A_n45       | n45=22 > 4*Rmax=16
 0  1  0  0  1  22 19 | C6A_n45       | n45=22 > 4*Rmax=16
 0  1  0  0  1  22 20 | C6A_n45       | n45=22 > 4*Rmax=16
 0  1  0  0  1  22 21 | C6A_n45       | n45=22 > 4*Rmax=16
 0  1  0  0  1  22 22 | C6A_n45       | n45=22 > 4*Rmax=16
 0  1  0  0  1  23  0 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23  1 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23  2 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23  3 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23  4 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23  5 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23  6 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23  7 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23  8 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23  9 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23 10 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23 11 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23 12 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23 13 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23 14 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23 15 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23 16 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23 17 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23 18 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23 19 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23 20 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23 21 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23 22 | C6A_n45       | n45=23 > 4*Rmax=12
 0  1  0  0  1  23 23 | C6A_n45       | n45=23 > 4*Rmax=12
 1  0  1  0  0   0  0 | length_budget | rem=116 not in [25,73]
 1  0  1  0  0   1  0 | length_budget | rem=111 not in [24,70]
 1  0  1  0  0   1  1 | length_budget | rem=112 not in [24,70]
 1  0  1  0  0   2  0 | length_budget | rem=106 not in [23,67]
 1  0  1  0  0   2  1 | length_budget | rem=107 not in [23,67]
 1  0  1  0  0   2  2 | length_budget | rem=108 not in [23,67]
 1  0  1  0  0   3  0 | length_budget | rem=101 not in [22,64]
 1  0  1  0  0   3  1 | length_budget | rem=102 not in [22,64]
 1  0  1  0  0   3  2 | length_budget | rem=103 not in [22,64]
 1  0  1  0  0   3  3 | length_budget | rem=104 not in [22,64]
 1  0  1  0  0   4  0 | length_budget | rem=96 not in [21,61]
 1  0  1  0  0   4  1 | length_budget | rem=97 not in [21,61]
 1  0  1  0  0   4  2 | length_budget | rem=98 not in [21,61]
 1  0  1  0  0   4  3 | length_budget | rem=99 not in [21,61]
 1  0  1  0  0   4  4 | length_budget | rem=100 not in [21,61]
 1  0  1  0  0   5  0 | length_budget | rem=91 not in [20,58]
 1  0  1  0  0   5  1 | length_budget | rem=92 not in [20,58]
 1  0  1  0  0   5  2 | length_budget | rem=93 not in [20,58]
 1  0  1  0  0   5  3 | length_budget | rem=94 not in [20,58]
 1  0  1  0  0   5  4 | length_budget | rem=95 not in [20,58]
 1  0  1  0  0   5  5 | length_budget | rem=96 not in [20,58]
 1  0  1  0  0   6  0 | length_budget | rem=86 not in [19,55]
 1  0  1  0  0   6  1 | length_budget | rem=87 not in [19,55]
 1  0  1  0  0   6  2 | length_budget | rem=88 not in [19,55]
 1  0  1  0  0   6  3 | length_budget | rem=89 not in [19,55]
 1  0  1  0  0   6  4 | length_budget | rem=90 not in [19,55]
 1  0  1  0  0   6  5 | length_budget | rem=91 not in [19,55]
 1  0  1  0  0   6  6 | length_budget | rem=92 not in [19,55]
 1  0  1  0  0   7  0 | length_budget | rem=81 not in [18,52]
 1  0  1  0  0   7  1 | length_budget | rem=82 not in [18,52]
 1  0  1  0  0   7  2 | length_budget | rem=83 not in [18,52]
 1  0  1  0  0   7  3 | length_budget | rem=84 not in [18,52]
 1  0  1  0  0   7  4 | length_budget | rem=85 not in [18,52]
 1  0  1  0  0   7  5 | length_budget | rem=86 not in [18,52]
 1  0  1  0  0   7  6 | length_budget | rem=87 not in [18,52]
 1  0  1  0  0   7  7 | length_budget | rem=88 not in [18,52]
 1  0  1  0  0   8  0 | length_budget | rem=76 not in [17,49]
 1  0  1  0  0   8  1 | length_budget | rem=77 not in [17,49]
 1  0  1  0  0   8  2 | length_budget | rem=78 not in [17,49]
 1  0  1  0  0   8  3 | length_budget | rem=79 not in [17,49]
 1  0  1  0  0   8  4 | length_budget | rem=80 not in [17,49]
 1  0  1  0  0   8  5 | length_budget | rem=81 not in [17,49]
 1  0  1  0  0   8  6 | length_budget | rem=82 not in [17,49]
 1  0  1  0  0   8  7 | length_budget | rem=83 not in [17,49]
 1  0  1  0  0   8  8 | length_budget | rem=84 not in [17,49]
 1  0  1  0  0   9  0 | length_budget | rem=71 not in [16,46]
 1  0  1  0  0   9  1 | length_budget | rem=72 not in [16,46]
 1  0  1  0  0   9  2 | length_budget | rem=73 not in [16,46]
 1  0  1  0  0   9  3 | length_budget | rem=74 not in [16,46]
 1  0  1  0  0   9  4 | length_budget | rem=75 not in [16,46]
 1  0  1  0  0   9  5 | length_budget | rem=76 not in [16,46]
 1  0  1  0  0   9  6 | length_budget | rem=77 not in [16,46]
 1  0  1  0  0   9  7 | length_budget | rem=78 not in [16,46]
 1  0  1  0  0   9  8 | length_budget | rem=79 not in [16,46]
 1  0  1  0  0   9  9 | length_budget | rem=80 not in [16,46]
 1  0  1  0  0  10  0 | length_budget | rem=66 not in [15,43]
 1  0  1  0  0  10  1 | length_budget | rem=67 not in [15,43]
 1  0  1  0  0  10  2 | length_budget | rem=68 not in [15,43]
 1  0  1  0  0  10  3 | length_budget | rem=69 not in [15,43]
 1  0  1  0  0  10  4 | length_budget | rem=70 not in [15,43]
 1  0  1  0  0  10  5 | length_budget | rem=71 not in [15,43]
 1  0  1  0  0  10  6 | length_budget | rem=72 not in [15,43]
 1  0  1  0  0  10  7 | length_budget | rem=73 not in [15,43]
 1  0  1  0  0  10  8 | length_budget | rem=74 not in [15,43]
 1  0  1  0  0  10  9 | length_budget | rem=75 not in [15,43]
 1  0  1  0  0  10 10 | length_budget | rem=76 not in [15,43]
 1  0  1  0  0  11  0 | length_budget | rem=61 not in [14,40]
 1  0  1  0  0  11  1 | length_budget | rem=62 not in [14,40]
 1  0  1  0  0  11  2 | length_budget | rem=63 not in [14,40]
 1  0  1  0  0  11  3 | length_budget | rem=64 not in [14,40]
 1  0  1  0  0  11  4 | length_budget | rem=65 not in [14,40]
 1  0  1  0  0  11  5 | length_budget | rem=66 not in [14,40]
 1  0  1  0  0  11  6 | length_budget | rem=67 not in [14,40]
 1  0  1  0  0  11  7 | length_budget | rem=68 not in [14,40]
 1  0  1  0  0  11  8 | length_budget | rem=69 not in [14,40]
 1  0  1  0  0  11  9 | length_budget | rem=70 not in [14,40]
 1  0  1  0  0  11 10 | length_budget | rem=71 not in [14,40]
 1  0  1  0  0  11 11 | length_budget | rem=72 not in [14,40]
 1  0  1  0  0  12  0 | length_budget | rem=56 not in [13,37]
 1  0  1  0  0  12  1 | length_budget | rem=57 not in [13,37]
 1  0  1  0  0  12  2 | length_budget | rem=58 not in [13,37]
 1  0  1  0  0  12  3 | length_budget | rem=59 not in [13,37]
 1  0  1  0  0  12  4 | length_budget | rem=60 not in [13,37]
 1  0  1  0  0  12  5 | length_budget | rem=61 not in [13,37]
 1  0  1  0  0  12  6 | length_budget | rem=62 not in [13,37]
 1  0  1  0  0  12  7 | length_budget | rem=63 not in [13,37]
 1  0  1  0  0  12  8 | length_budget | rem=64 not in [13,37]
 1  0  1  0  0  12  9 | length_budget | rem=65 not in [13,37]
 1  0  1  0  0  12 10 | length_budget | rem=66 not in [13,37]
 1  0  1  0  0  12 11 | length_budget | rem=67 not in [13,37]
 1  0  1  0  0  12 12 | length_budget | rem=68 not in [13,37]
 1  0  1  0  0  13  0 | length_budget | rem=51 not in [12,34]
 1  0  1  0  0  13  1 | length_budget | rem=52 not in [12,34]
 1  0  1  0  0  13  2 | length_budget | rem=53 not in [12,34]
 1  0  1  0  0  13  3 | length_budget | rem=54 not in [12,34]
 1  0  1  0  0  13  4 | length_budget | rem=55 not in [12,34]
 1  0  1  0  0  13  5 | length_budget | rem=56 not in [12,34]
 1  0  1  0  0  13  6 | length_budget | rem=57 not in [12,34]
 1  0  1  0  0  13  7 | length_budget | rem=58 not in [12,34]
 1  0  1  0  0  13  8 | length_budget | rem=59 not in [12,34]
 1  0  1  0  0  13  9 | length_budget | rem=60 not in [12,34]
 1  0  1  0  0  13 10 | length_budget | rem=61 not in [12,34]
 1  0  1  0  0  13 11 | length_budget | rem=62 not in [12,34]
 1  0  1  0  0  13 12 | length_budget | rem=63 not in [12,34]
 1  0  1  0  0  13 13 | length_budget | rem=64 not in [12,34]
 1  0  1  0  0  14  0 | length_budget | rem=46 not in [11,31]
 1  0  1  0  0  14  1 | length_budget | rem=47 not in [11,31]
 1  0  1  0  0  14  2 | length_budget | rem=48 not in [11,31]
 1  0  1  0  0  14  3 | length_budget | rem=49 not in [11,31]
 1  0  1  0  0  14  4 | length_budget | rem=50 not in [11,31]
 1  0  1  0  0  14  5 | length_budget | rem=51 not in [11,31]
 1  0  1  0  0  14  6 | length_budget | rem=52 not in [11,31]
 1  0  1  0  0  14  7 | length_budget | rem=53 not in [11,31]
 1  0  1  0  0  14  8 | length_budget | rem=54 not in [11,31]
 1  0  1  0  0  14  9 | length_budget | rem=55 not in [11,31]
 1  0  1  0  0  14 10 | length_budget | rem=56 not in [11,31]
 1  0  1  0  0  14 11 | length_budget | rem=57 not in [11,31]
 1  0  1  0  0  14 12 | length_budget | rem=58 not in [11,31]
 1  0  1  0  0  14 13 | length_budget | rem=59 not in [11,31]
 1  0  1  0  0  14 14 | length_budget | rem=60 not in [11,31]
 1  0  1  0  0  15  0 | length_budget | rem=41 not in [10,28]
 1  0  1  0  0  15  1 | length_budget | rem=42 not in [10,28]
 1  0  1  0  0  15  2 | length_budget | rem=43 not in [10,28]
 1  0  1  0  0  15  3 | length_budget | rem=44 not in [10,28]
 1  0  1  0  0  15  4 | length_budget | rem=45 not in [10,28]
 1  0  1  0  0  15  5 | length_budget | rem=46 not in [10,28]
 1  0  1  0  0  15  6 | length_budget | rem=47 not in [10,28]
 1  0  1  0  0  15  7 | length_budget | rem=48 not in [10,28]
 1  0  1  0  0  15  8 | length_budget | rem=49 not in [10,28]
 1  0  1  0  0  15  9 | length_budget | rem=50 not in [10,28]
 1  0  1  0  0  15 10 | length_budget | rem=51 not in [10,28]
 1  0  1  0  0  15 11 | length_budget | rem=52 not in [10,28]
 1  0  1  0  0  15 12 | length_budget | rem=53 not in [10,28]
 1  0  1  0  0  15 13 | length_budget | rem=54 not in [10,28]
 1  0  1  0  0  15 14 | length_budget | rem=55 not in [10,28]
 1  0  1  0  0  15 15 | length_budget | rem=56 not in [10,28]
 1  0  1  0  0  16  0 | length_budget | rem=36 not in [9,25]
 1  0  1  0  0  16  1 | length_budget | rem=37 not in [9,25]
 1  0  1  0  0  16  2 | length_budget | rem=38 not in [9,25]
 1  0  1  0  0  16  3 | length_budget | rem=39 not in [9,25]
 1  0  1  0  0  16  4 | length_budget | rem=40 not in [9,25]
 1  0  1  0  0  16  5 | length_budget | rem=41 not in [9,25]
 1  0  1  0  0  16  6 | length_budget | rem=42 not in [9,25]
 1  0  1  0  0  16  7 | length_budget | rem=43 not in [9,25]
 1  0  1  0  0  16  8 | length_budget | rem=44 not in [9,25]
 1  0  1  0  0  16  9 | length_budget | rem=45 not in [9,25]
 1  0  1  0  0  16 10 | length_budget | rem=46 not in [9,25]
 1  0  1  0  0  16 11 | length_budget | rem=47 not in [9,25]
 1  0  1  0  0  16 12 | length_budget | rem=48 not in [9,25]
 1  0  1  0  0  16 13 | length_budget | rem=49 not in [9,25]
 1  0  1  0  0  16 14 | length_budget | rem=50 not in [9,25]
 1  0  1  0  0  16 15 | length_budget | rem=51 not in [9,25]
 1  0  1  0  0  16 16 | length_budget | rem=52 not in [9,25]
 1  0  1  0  0  17  0 | length_budget | rem=31 not in [8,22]
 1  0  1  0  0  17  1 | length_budget | rem=32 not in [8,22]
 1  0  1  0  0  17  2 | length_budget | rem=33 not in [8,22]
 1  0  1  0  0  17  3 | length_budget | rem=34 not in [8,22]
 1  0  1  0  0  17  4 | length_budget | rem=35 not in [8,22]
 1  0  1  0  0  17  5 | length_budget | rem=36 not in [8,22]
 1  0  1  0  0  17  6 | length_budget | rem=37 not in [8,22]
 1  0  1  0  0  17  7 | length_budget | rem=38 not in [8,22]
 1  0  1  0  0  17  8 | length_budget | rem=39 not in [8,22]
 1  0  1  0  0  17  9 | length_budget | rem=40 not in [8,22]
 1  0  1  0  0  17 10 | length_budget | rem=41 not in [8,22]
 1  0  1  0  0  17 11 | length_budget | rem=42 not in [8,22]
 1  0  1  0  0  17 12 | length_budget | rem=43 not in [8,22]
 1  0  1  0  0  17 13 | length_budget | rem=44 not in [8,22]
 1  0  1  0  0  17 14 | length_budget | rem=45 not in [8,22]
 1  0  1  0  0  17 15 | length_budget | rem=46 not in [8,22]
 1  0  1  0  0  17 16 | length_budget | rem=47 not in [8,22]
 1  0  1  0  0  17 17 | length_budget | rem=48 not in [8,22]
 1  0  1  0  0  18  0 | length_budget | rem=26 not in [7,19]
 1  0  1  0  0  18  1 | length_budget | rem=27 not in [7,19]
 1  0  1  0  0  18  2 | length_budget | rem=28 not in [7,19]
 1  0  1  0  0  18  3 | length_budget | rem=29 not in [7,19]
 1  0  1  0  0  18  4 | length_budget | rem=30 not in [7,19]
 1  0  1  0  0  18  5 | length_budget | rem=31 not in [7,19]
 1  0  1  0  0  18  6 | length_budget | rem=32 not in [7,19]
 1  0  1  0  0  18  7 | length_budget | rem=33 not in [7,19]
 1  0  1  0  0  18  8 | length_budget | rem=34 not in [7,19]
 1  0  1  0  0  18  9 | length_budget | rem=35 not in [7,19]
 1  0  1  0  0  18 10 | length_budget | rem=36 not in [7,19]
 1  0  1  0  0  18 11 | length_budget | rem=37 not in [7,19]
 1  0  1  0  0  18 12 | length_budget | rem=38 not in [7,19]
 1  0  1  0  0  18 13 | length_budget | rem=39 not in [7,19]
 1  0  1  0  0  18 14 | length_budget | rem=40 not in [7,19]
 1  0  1  0  0  18 15 | length_budget | rem=41 not in [7,19]
 1  0  1  0  0  18 16 | length_budget | rem=42 not in [7,19]
 1  0  1  0  0  18 17 | length_budget | rem=43 not in [7,19]
 1  0  1  0  0  18 18 | length_budget | rem=44 not in [7,19]
 1  0  1  0  0  19  0 | length_budget | rem=21 not in [6,16]
 1  0  1  0  0  19  1 | length_budget | rem=22 not in [6,16]
 1  0  1  0  0  19  2 | length_budget | rem=23 not in [6,16]
 1  0  1  0  0  19  3 | length_budget | rem=24 not in [6,16]
 1  0  1  0  0  19  4 | length_budget | rem=25 not in [6,16]
 1  0  1  0  0  19  5 | length_budget | rem=26 not in [6,16]
 1  0  1  0  0  19  6 | length_budget | rem=27 not in [6,16]
 1  0  1  0  0  19  7 | length_budget | rem=28 not in [6,16]
 1  0  1  0  0  19  8 | length_budget | rem=29 not in [6,16]
 1  0  1  0  0  19  9 | length_budget | rem=30 not in [6,16]
 1  0  1  0  0  19 10 | length_budget | rem=31 not in [6,16]
 1  0  1  0  0  19 11 | length_budget | rem=32 not in [6,16]
 1  0  1  0  0  19 12 | length_budget | rem=33 not in [6,16]
 1  0  1  0  0  19 13 | length_budget | rem=34 not in [6,16]
 1  0  1  0  0  19 14 | length_budget | rem=35 not in [6,16]
 1  0  1  0  0  19 15 | length_budget | rem=36 not in [6,16]
 1  0  1  0  0  19 16 | length_budget | rem=37 not in [6,16]
 1  0  1  0  0  19 17 | C6A_n4        | n4=17 > 2*Rmax=16
 1  0  1  0  0  19 18 | C6A_n4        | n4=18 > 2*Rmax=16
 1  0  1  0  0  19 19 | C6A_n4        | n4=19 > 2*Rmax=16
 1  0  1  0  0  20  0 | length_budget | rem=16 not in [5,13]
 1  0  1  0  0  20  1 | length_budget | rem=17 not in [5,13]
 1  0  1  0  0  20  2 | length_budget | rem=18 not in [5,13]
 1  0  1  0  0  20  3 | length_budget | rem=19 not in [5,13]
 1  0  1  0  0  20  4 | length_budget | rem=20 not in [5,13]
 1  0  1  0  0  20  5 | length_budget | rem=21 not in [5,13]
 1  0  1  0  0  20  6 | length_budget | rem=22 not in [5,13]
 1  0  1  0  0  20  7 | length_budget | rem=23 not in [5,13]
 1  0  1  0  0  20  8 | length_budget | rem=24 not in [5,13]
 1  0  1  0  0  20  9 | length_budget | rem=25 not in [5,13]
 1  0  1  0  0  20 10 | length_budget | rem=26 not in [5,13]
 1  0  1  0  0  20 11 | length_budget | rem=27 not in [5,13]
 1  0  1  0  0  20 12 | length_budget | rem=28 not in [5,13]
 1  0  1  0  0  20 13 | length_budget | rem=29 not in [5,13]
 1  0  1  0  0  20 14 | length_budget | rem=30 not in [5,13]
 1  0  1  0  0  20 15 | C6A_n4        | n4=15 > 2*Rmax=14
 1  0  1  0  0  20 16 | C6A_n4        | n4=16 > 2*Rmax=14
 1  0  1  0  0  20 17 | C6A_n4        | n4=17 > 2*Rmax=14
 1  0  1  0  0  20 18 | C6A_n4        | n4=18 > 2*Rmax=14
 1  0  1  0  0  20 19 | C6A_n4        | n4=19 > 2*Rmax=14
 1  0  1  0  0  20 20 | C6A_n4        | n4=20 > 2*Rmax=14
 1  0  1  0  0  21  0 | length_budget | rem=11 not in [4,10]
 1  0  1  0  0  21  1 | length_budget | rem=12 not in [4,10]
 1  0  1  0  0  21  2 | length_budget | rem=13 not in [4,10]
 1  0  1  0  0  21  3 | length_budget | rem=14 not in [4,10]
 1  0  1  0  0  21  4 | length_budget | rem=15 not in [4,10]
 1  0  1  0  0  21  5 | length_budget | rem=16 not in [4,10]
 1  0  1  0  0  21  6 | length_budget | rem=17 not in [4,10]
 1  0  1  0  0  21  7 | length_budget | rem=18 not in [4,10]
 1  0  1  0  0  21  8 | length_budget | rem=19 not in [4,10]
 1  0  1  0  0  21  9 | length_budget | rem=20 not in [4,10]
 1  0  1  0  0  21 10 | length_budget | rem=21 not in [4,10]
 1  0  1  0  0  21 11 | length_budget | rem=22 not in [4,10]
 1  0  1  0  0  21 12 | length_budget | rem=23 not in [4,10]
 1  0  1  0  0  21 13 | C6A_n4        | n4=13 > 2*Rmax=12
 1  0  1  0  0  21 14 | C6A_n4        | n4=14 > 2*Rmax=12
 1  0  1  0  0  21 15 | C6A_n4        | n4=15 > 2*Rmax=12
 1  0  1  0  0  21 16 | C6A_n4        | n4=16 > 2*Rmax=12
 1  0  1  0  0  21 17 | C6A_n4        | n4=17 > 2*Rmax=12
 1  0  1  0  0  21 18 | C6A_n4        | n4=18 > 2*Rmax=12
 1  0  1  0  0  21 19 | C6A_n4        | n4=19 > 2*Rmax=12
 1  0  1  0  0  21 20 | C6A_n4        | n4=20 > 2*Rmax=12
 1  0  1  0  0  21 21 | C6A_n4        | n4=21 > 2*Rmax=12
 1  0  1  0  0  22  0 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22  1 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22  2 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22  3 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22  4 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22  5 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22  6 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22  7 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22  8 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22  9 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22 10 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22 11 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22 12 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22 13 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22 14 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22 15 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22 16 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22 17 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22 18 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22 19 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22 20 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22 21 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  22 22 | C6A_n45       | n45=22 > 4*Rmax=20
 1  0  1  0  0  23  0 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23  1 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23  2 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23  3 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23  4 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23  5 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23  6 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23  7 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23  8 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23  9 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23 10 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23 11 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23 12 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23 13 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23 14 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23 15 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23 16 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23 17 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23 18 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23 19 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23 20 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23 21 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23 22 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  0  23 23 | C6A_n45       | n45=23 > 4*Rmax=16
 1  0  1  0  1   0  0 | length_budget | rem=116 not in [25,73]
 1  0  1  0  1   1  0 | length_budget | rem=111 not in [24,70]
 1  0  1  0  1   1  1 | length_budget | rem=112 not in [24,70]
 1  0  1  0  1   2  0 | length_budget | rem=106 not in [23,67]
 1  0  1  0  1   2  1 | length_budget | rem=107 not in [23,67]
 1  0  1  0  1   2  2 | length_budget | rem=108 not in [23,67]
 1  0  1  0  1   3  0 | length_budget | rem=101 not in [22,64]
 1  0  1  0  1   3  1 | length_budget | rem=102 not in [22,64]
 1  0  1  0  1   3  2 | length_budget | rem=103 not in [22,64]
 1  0  1  0  1   3  3 | length_budget | rem=104 not in [22,64]
 1  0  1  0  1   4  0 | length_budget | rem=96 not in [21,61]
 1  0  1  0  1   4  1 | length_budget | rem=97 not in [21,61]
 1  0  1  0  1   4  2 | length_budget | rem=98 not in [21,61]
 1  0  1  0  1   4  3 | length_budget | rem=99 not in [21,61]
 1  0  1  0  1   4  4 | length_budget | rem=100 not in [21,61]
 1  0  1  0  1   5  0 | length_budget | rem=91 not in [20,58]
 1  0  1  0  1   5  1 | length_budget | rem=92 not in [20,58]
 1  0  1  0  1   5  2 | length_budget | rem=93 not in [20,58]
 1  0  1  0  1   5  3 | length_budget | rem=94 not in [20,58]
 1  0  1  0  1   5  4 | length_budget | rem=95 not in [20,58]
 1  0  1  0  1   5  5 | length_budget | rem=96 not in [20,58]
 1  0  1  0  1   6  0 | length_budget | rem=86 not in [19,55]
 1  0  1  0  1   6  1 | length_budget | rem=87 not in [19,55]
 1  0  1  0  1   6  2 | length_budget | rem=88 not in [19,55]
 1  0  1  0  1   6  3 | length_budget | rem=89 not in [19,55]
 1  0  1  0  1   6  4 | length_budget | rem=90 not in [19,55]
 1  0  1  0  1   6  5 | length_budget | rem=91 not in [19,55]
 1  0  1  0  1   6  6 | length_budget | rem=92 not in [19,55]
 1  0  1  0  1   7  0 | length_budget | rem=81 not in [18,52]
 1  0  1  0  1   7  1 | length_budget | rem=82 not in [18,52]
 1  0  1  0  1   7  2 | length_budget | rem=83 not in [18,52]
 1  0  1  0  1   7  3 | length_budget | rem=84 not in [18,52]
 1  0  1  0  1   7  4 | length_budget | rem=85 not in [18,52]
 1  0  1  0  1   7  5 | length_budget | rem=86 not in [18,52]
 1  0  1  0  1   7  6 | length_budget | rem=87 not in [18,52]
 1  0  1  0  1   7  7 | length_budget | rem=88 not in [18,52]
 1  0  1  0  1   8  0 | length_budget | rem=76 not in [17,49]
 1  0  1  0  1   8  1 | length_budget | rem=77 not in [17,49]
 1  0  1  0  1   8  2 | length_budget | rem=78 not in [17,49]
 1  0  1  0  1   8  3 | length_budget | rem=79 not in [17,49]
 1  0  1  0  1   8  4 | length_budget | rem=80 not in [17,49]
 1  0  1  0  1   8  5 | length_budget | rem=81 not in [17,49]
 1  0  1  0  1   8  6 | length_budget | rem=82 not in [17,49]
 1  0  1  0  1   8  7 | length_budget | rem=83 not in [17,49]
 1  0  1  0  1   8  8 | length_budget | rem=84 not in [17,49]
 1  0  1  0  1   9  0 | length_budget | rem=71 not in [16,46]
 1  0  1  0  1   9  1 | length_budget | rem=72 not in [16,46]
 1  0  1  0  1   9  2 | length_budget | rem=73 not in [16,46]
 1  0  1  0  1   9  3 | length_budget | rem=74 not in [16,46]
 1  0  1  0  1   9  4 | length_budget | rem=75 not in [16,46]
 1  0  1  0  1   9  5 | length_budget | rem=76 not in [16,46]
 1  0  1  0  1   9  6 | length_budget | rem=77 not in [16,46]
 1  0  1  0  1   9  7 | length_budget | rem=78 not in [16,46]
 1  0  1  0  1   9  8 | length_budget | rem=79 not in [16,46]
 1  0  1  0  1   9  9 | length_budget | rem=80 not in [16,46]
 1  0  1  0  1  10  0 | length_budget | rem=66 not in [15,43]
 1  0  1  0  1  10  1 | length_budget | rem=67 not in [15,43]
